,Artist,Title,Mix,BPM,Genre,Label,Year,Number of Artists,Artist_1,Artist_2,Artist_3,Artist_4,Artist_5,Artist_6
228,Snoop Dogg,Sensual Seduction/Sexual Eruption,Dirty South Remix,124,N/A,Doggystyle/Geffen,2008,1,Snoop Dogg,,,,,
229,Snoop Dogg,Sexual Eruption,Explicit,120,N/A,Doggy Style/Geffen,2008,1,Snoop Dogg,,,,,
230,Snoop Dogg,Sexual Eruption,Instrumental,120,N/A,Doggy Style/Geffen,2008,1,Snoop Dogg,,,,,
231,Snoop Dogg,Sexual Eruption,N/A,120,N/A,Doggy Style/Geffen,2008,1,Snoop Dogg,,,,,
232,Snoop Dogg,Snoop Dogg,N/A,107,Hip-Hop,No Limit/priority Records,2000,1,Snoop Dogg,,,,,
233,Snoop Dogg,Snoop's Upside Ya Head,N/A,100,Pop,Death Row,2017,1,Snoop Dogg,,,,,
234,Snoop Dogg,So Many Pros,Clean,117,Hip-Hop,Columbia,2015,1,Snoop Dogg,,,,,
235,Snoop Dogg,So Many Pros,Quick Edit,117,Hip-Hop,Columbia,2015,1,Snoop Dogg,,,,,
236,Snoop Dogg,So Many Pros,N/A,117,Hip-Hop,Columbia,2015,1,Snoop Dogg,,,,,
237,Snoop Dogg,Still A G Thang,N/A,98,Hip-Hop,No Limit/priority Records,1998,1,Snoop Dogg,,,,,
238,Snoop Dogg,Sweat (Wet),David Guetta Intro Edit*,126,Dance,Doggy Style/Capitol,2011,1,Snoop Dogg,,,,,
239,Snoop Dogg,Sweat (Wet),David Guetta Intro Edit,130,Top 40,Doggy Style/Capitol,2011,1,Snoop Dogg,,,,,
240,Snoop Dogg,Sweat (Wet),David Guetta Remix,130,Top 40,Doggy Style/Capitol,2011,1,Snoop Dogg,,,,,
241,Snoop Dogg,Sweat (Wet),N/A,67,Top 40,Doggy Style/Capitol,2011,1,Snoop Dogg,,,,,
242,Snoop Dogg,Those Gurlz,N/A,92,Urban,Doggystyle/Geffen,2008,1,Snoop Dogg,,,,,
243,Snoop Dogg,Those Gurlz,Clean Edit Clean,92,N/A,Doggystyle/Geffen,2008,1,Snoop Dogg,,,,,
244,Snoop Dogg,Ups And Downs,N/A,96,Hip-Hop,N/A,2005,1,Snoop Dogg,,,,,
245,Snoop Dogg,Ups & Downs,N/A,96,Urban,Stiff,2005,1,Snoop Dogg,,,,,
246,Snoop Dogg,Vato,N/A,91,N/A,Geffen/Interscope Records,2006,1,Snoop Dogg,,,,,
247,Snoop Dogg,Vato,Instrumental,91,N/A,Geffen,2006,1,Snoop Dogg,,,,,
248,Snoop Dogg,Who Am I? (What's My Name)?,N/A,97,Urban,Death Row Interscope,2004,1,Snoop Dogg,,,,,
249,"Snoop Dogg Feat. Master P, Nate Dogg, Butch Cassidy and Tha Eastsidaz",Lay Low,N/A,95,Hip-Hop,Doggy Style/no Limit/priority Records,2001,5,Snoop Dogg,Master P,Nate Dogg,Butch Cassidy,Tha Eastsidaz,
250,Snoop Dogg Feat Pharell,Beutiful,N/A,100,Hip-Hop,N/A,N/A,2,Snoop Dogg,Pharell,,,,
251,"Snoop Dogg Feat. Pharrell, Uncle Charlie Wilson",Beautiful,N/A,101,Hip-Hop,Priority Records,2003,3,Snoop Dogg,Pharrell,Uncle Charlie Wilson,,,
252,Snoop Dogg Feat. Tyrese & Mr. Tan,Just A Baby Boy,N/A,89,Hip-Hop,Universal Records,2001,3,Snoop Dogg,Tyrese,Mr. Tan,,,
253,"Snoop Dogg Featuring RBX, E-White And Soopafly",Not Like It Was,N/A,101,Hip-Hop,Doggy Style,2002,4,Snoop Dogg,RBX,E-White,Soopafly,,
254,Snoop Dogg Feat. Xzibit & Nate Dogg,B Please,N/A,95,Hip-Hop,No Limit/priority Records,1999,3,Snoop Dogg,Xzibit,Nate Dogg,,,
255,Snoop Dogg ft. B-Real,Vato,PO Clean Edit,91,Urban,Doggy Style Geffen,2006,2,Snoop Dogg,B-Real,,,,
256,Snoop Dogg ft. Charlie Wilson,Can't Say Goodbye,Clean Edit Clean,98,N/A,Doggy Style/Geffen,2008,2,Snoop Dogg,Charlie Wilson,,,,
257,Snoop Dogg ft. Charlie Wilson,One More Day,N/A,80,Other,N/A,2018,2,Snoop Dogg,Charlie Wilson,,,,
258,Snoop Dogg ft. Charlie Wilson,Peaches N Cream,Quick Edit,110,Hip-Hop,Columbia,2015,2,Snoop Dogg,Charlie Wilson,,,,
259,Snoop Dogg ft. Charlie Wilson,Peaches N Cream,Explicit,110,Hip-Hop,Columbia,2015,2,Snoop Dogg,Charlie Wilson,,,,
260,Snoop Dogg ft. Charlie Wilson,Peaches N Cream,N/A,110,Hip-Hop,Columbia,2015,2,Snoop Dogg,Charlie Wilson,,,,
261,Snoop Dogg ft. Charlie Wilson,Peaches N Cream,Clean,110,Hip-Hop,Columbia,2015,2,Snoop Dogg,Charlie Wilson,,,,
262,Snoop Dogg ft. Charlie Wilson & Justin Timberlake,Signs,MTV Version,113,Urban,Doggy Style Stiff,2005,3,Snoop Dogg,Charlie Wilson,Justin Timberlake,,,
263,Snoop Dogg ft. Charlie Wilson & Justin Timberlake,Signs,N/A,113,Top 40,Doggy Style Stiff,2005,3,Snoop Dogg,Charlie Wilson,Justin Timberlake,,,
264,Snoop Dogg ft. Dr. Dre,The Next Episode,N/A,95,Urban,Aftermath/Interscope,2008,2,Snoop Dogg,Dr. Dre,,,,
265,Snoop Dogg ft. Jay-Z,I Wanna Rock,Remix,91,Urban,Priority/Capitol,2010,2,Snoop Dogg,Jay-Z,,,,
266,Snoop Dogg ft. Jeremih,Point Seen Money Gone,Clean,102,Hip-Hop,eOne,2016,2,Snoop Dogg,Jeremih,,,,
267,Snoop Dogg ft. Jeremih,Point Seen Money Gone,Explicit,102,Hip-Hop,eOne,2016,2,Snoop Dogg,Jeremih,,,,
268,"Snoop Dogg ft. Jermaine Dupri, Ozuna & Slim Jxmmi",Do It When I'm In It,PO Intro Edit,94,Hip-Hop,PO Intro Edit,2019,4,Snoop Dogg,Jermaine Dupri,Ozuna,Slim Jxmmi,,
269,"Snoop Dogg ft. Jermaine Dupri, Ozuna & Slim Jxmmi",Do It When I'm In It,Explicit,94,Hip-Hop,Explicit,2019,4,Snoop Dogg,Jermaine Dupri,Ozuna,Slim Jxmmi,,
270,"Snoop Dogg ft. Jermaine Dupri, Ozuna & Slim Jxmmi",Do It When I'm In It,Clean Edit,94,Hip-Hop,Clean Edit,2019,4,Snoop Dogg,Jermaine Dupri,Ozuna,Slim Jxmmi,,
271,"Snoop Dogg ft. Jermaine Dupri, Ozuna & Slim Jxmmi",Do It When I'm In It,PO Quick Edit,94,Hip-Hop,PO Quick Edit,2019,4,Snoop Dogg,Jermaine Dupri,Ozuna,Slim Jxmmi,,
272,Snoop Dogg ft. Kid Cudi,That Tree,(Explicit),101,Urban,Priority/Capitol,2010,2,Snoop Dogg,Kid Cudi,,,,
273,Snoop Dogg ft. Marty James,New Year's Eve,Instrumental,95,N/A,Priority/Capitol,2010,2,Snoop Dogg,Marty James,,,,
274,Snoop Dogg ft. Marty James,New Year's Eve,N/A,95,Urban,Priority/Capitol,2010,2,Snoop Dogg,Marty James,,,,
275,Snoop Dogg ft. Nate Dogg,Boss Life,Instrumental,91,N/A,Doggy Style/Geffen Records,2007,2,Snoop Dogg,Nate Dogg,,,,
276,Snoop Dogg ft. Nate Dogg,Boss' Life,Explicit,91,N/A,Doggy Style/Geffen Records,2007,2,Snoop Dogg,Nate Dogg,,,,
277,Snoop Dogg ft. Nate Dogg,Boss' Life,Clean Edit,91,N/A,Doggy Style/Geffen Records,2007,2,Snoop Dogg,Nate Dogg,,,,
278,Snoop Dogg ft. Nate Dogg,Boss' Life,N/A,91,Urban,Doggy Style/Geffen Records,2007,2,Snoop Dogg,Nate Dogg,,,,
279,Snoop Dogg ft. Pharrell,Drop It Like It's Hot,N/A,92,Urban,Doggystyle/Star Trak/Geffen,2009,2,Snoop Dogg,Pharrell,,,,
280,Snoop Dogg ft. Pharrell,Drop It Like It's Hot,Remix,92,N/A,Doggy Style Geffen,2005,2,Snoop Dogg,Pharrell,,,,
281,Snoop Dogg ft. Pharrell,Let's Get Blown,N/A,106,Urban,Doggy Style Stiff,2005,2,Snoop Dogg,Pharrell,,,,
282,Snoop Dogg ft. Rance Allen,Blessing Me Again,N/A,84,Other,N/A,2018,2,Snoop Dogg,Rance Allen,,,,
283,Snoop Dogg ft. R. Kelly,That's That,Instrumental,82,N/A,Geffen,2006,2,Snoop Dogg,R. Kelly,,,,
284,Snoop Dogg ft. R. Kelly,That's That,Clean Edit,82,N/A,Geffen,2006,2,Snoop Dogg,R. Kelly,,,,
285,Snoop Dogg ft. R. Kelly,That's That,EXPLICIT,82,N/A,Doggy Style/Geffen Records,2007,2,Snoop Dogg,R. Kelly,,,,
286,Snoop Dogg ft. R. Kelly,That's That,PO Clean Edit,82,N/A,Doggy Style Geffen,2006,2,Snoop Dogg,R. Kelly,,,,
287,Snoop Dogg ft. R.Kelly,That's That,Clean Edit,82,N/A,Geffen Records,2007,2,Snoop Dogg,R.Kelly,,,,
288,Snoop Dogg ft. Stevie Wonder,California Roll,Clean Edit,79,Hip-Hop,Columbia,2015,2,Snoop Dogg,Stevie Wonder,,,,
289,Snoop Dogg ft. Stevie Wonder,California Roll,Explicit,79,Hip-Hop,Columbia,2015,2,Snoop Dogg,Stevie Wonder,,,,
290,Snoop Dogg ft. Stevie Wonder,California Roll,Quick Edit,79,Hip-Hop,Columbia,2015,2,Snoop Dogg,Stevie Wonder,,,,
291,Snoop Dogg ft. Stevie Wonder,California Roll,N/A,79,Hip-Hop,Columbia,2015,2,Snoop Dogg,Stevie Wonder,,,,
292,Snoop Dogg ft. The Bee Gees,Ups & Downs,N/A,96,Urban,Stiff,2005,2,Snoop Dogg,The Bee Gees,,,,
293,Snoop Dogg ft. The-Dream,Gangsta Luv,Main,102,N/A,Priority/Capitol,2010,2,Snoop Dogg,The-Dream,,,,
294,Snoop Dogg ft. The-Dream,Gangsta Luv,N/A,102,N/A,Priority/Capitol,2009,2,Snoop Dogg,The-Dream,,,,
295,Snoop Dogg ft. The-Dream,Gangsta Luv,(Explicit),102,N/A,Doggystyle/Priority/Capitol,2010,2,Snoop Dogg,The-Dream,,,,
296,Snoop Dogg ft. The Hustle Boyz,Check Yo Self,N/A,101,N/A,Priority/Capitol,2010,2,Snoop Dogg,The Hustle Boyz,,,,
297,Snoop Dogg ft. The Hustle Boyz,Check Yo Self,Clean Edit,101,N/A,Priority/Capitol,2010,2,Snoop Dogg,The Hustle Boyz,,,,
298,Snoop Dogg ft. The Hustle Boyz,Check Yo Self,Instrumental,101,N/A,Priority/Capitol,2010,2,Snoop Dogg,The Hustle Boyz,,,,
299,Snoop Dogg ft. T-Pain,Boom,N/A,104,N/A,Doggy Style/Capitol,2011,2,Snoop Dogg,T-Pain,,,,
300,Snoop Dogg ft. T-Pain,Boom,Instrumental,104,N/A,Doggy Style/Capitol,2011,2,Snoop Dogg,T-Pain,,,,
301,Snoop Dogg ft. Willie Nelson,My Medicine,N/A,96,Urban,Doggystyle/Geffen,2008,2,Snoop Dogg,Willie Nelson,,,,
302,Snoop Dogg ft. Wiz Khalifa,Kush Ups,Promo Only Clean Edit,75,Hip-Hop,eOne,2016,2,Snoop Dogg,Wiz Khalifa,,,,
303,Snoop Dogg ft. Wiz Khalifa,Kush Ups,Explicit,75,Hip-Hop,eOne,2016,2,Snoop Dogg,Wiz Khalifa,,,,
304,Snoop Dogg ft. Wiz Khalifa,Kush Ups,Clean Edit,75,Hip-Hop,eOne,2016,2,Snoop Dogg,Wiz Khalifa,,,,
305,Snoop Dogg ft. Xzibit & Nate Dogg,B Please,N/A,95,Rock,No Limit/Priority,2011,3,Snoop Dogg,Xzibit,Nate Dogg,,,
306,Snoop Dogg/Justin Timberlake,Signs,Radio,113,R&B,Doggy Style/star Trax/geffen,2005,2,Snoop Dogg,Justin Timberlake,,,,
307,"Snoop Dogg,  Nate Dogg,  Master P & Butch Cassidy",Lay Low,N/A,95,N/A,No Limit/Priority,2006,4,Snoop Dogg,Nate Dogg,Master P,Butch Cassidy,,
308,Snoop Dogg Presents Tha Eastsidaz Feat. Jayo Felony And Blaqthoven,Got Beef,N/A,89,Hip-Hop,Tvt Records,2000,4,Snoop Dogg,Tha Eastsidaz,Jayo Felony,Blaqthoven,,
309,Snoop Dogg Pres. Tha Eastsidaz,G'd Up,Clean Version,98,Hip-Hop,Tvt Records,2000,2,Snoop Dogg,Tha Eastsidaz,,,,
310,Snoop Dogg Pres. Tha Eastsidaz,G'd Up,N/A,98,Rock,TVT,2014,2,Snoop Dogg,Tha Eastsidaz,,,,
311,Snoop Dogg vs David Guetta,Wet,David Guetta Extended Remix,130,N/A,Capitol,2011,2,Snoop Dogg,David Guetta,,,,
312,Snoop Doggy Dogg,From The Chuuuchâ€¦,N/A,98,Hip-Hop,N/A,N/A,1,Snoop Doggy Dogg,,,,,
313,Snoop Doggy Dogg,Gin & Juice,N/A,96,Hip-Hop,N/A,N/A,1,Snoop Doggy Dogg,,,,,
314,Snoop Doggy Dogg,Murder Was The Case,N/A,88,Rock,Death Row/Interscope/Atlantic,2010,1,Snoop Doggy Dogg,,,,,
315,Snoop Doggy Dogg,Snoop's Up Side Your Head,N/A,100,Hip-Hop,Death Row Records,1996,1,Snoop Doggy Dogg,,,,,
316,Snoop Doggy Dogg,Vapors,N/A,90,Hip-Hop,Death Row Records,1997,1,Snoop Doggy Dogg,,,,,
317,Snoop Doggy Dogg,Who Am I (what's My Name),N/A,97,Hip-Hop,N/A,N/A,1,Snoop Doggy Dogg,,,,,
318,SNOOP DOGGY DOGG,Aint No Fun,N/A,100,Hip-Hop,Death Row,1994,1,SNOOP DOGGY DOGG,,,,,
319,Snoop Doggy Dogg Feat. Marvin,Dance With Me,N/A,108,N/A,N/A,N/A,2,Snoop Doggy Dogg,Marvin,,,,
320,Snoop Doggy Dogg & Kurupt,Ride On,Dj Quik Mix,97,Hip-Hop,Noo Trybe Records,1998,2,Snoop Doggy Dogg,Kurupt,,,,
321,Tha Dogg Pound ft. Snoop Dogg,Cali Iz Active,N/A,104,N/A,Doggy Style Koch,2006,2,Tha Dogg Pound,Snoop Dogg,,,,
322,Tha Dogg Pound ft. Snoop Dogg,Cali Iz Active,PO Clean Edit,104,N/A,Doggy Style Koch,2006,2,Tha Dogg Pound,Snoop Dogg,,,,
323,"The Alchemist ft. Jadakiss, Snoop Dogg & Pusha T",Lose Your Life,(Explicit),87,N/A,KOCH,2009,4,The Alchemist,Jadakiss,Snoop Dogg,Pusha T,,
324,"The Alchemist ft. Jadakiss, Snoop Dogg, Pusha T",Lose Your Life,N/A,85,Urban,KOCH,2009,4,The Alchemist,Jadakiss,Snoop Dogg,Pusha T,,
325,The Black Eyed Peas ft. Snoop Dogg,Be Nice,N/A,105,N/A,N/A,2019,2,The Black Eyed Peas,Snoop Dogg,,,,
326,"The Dogg Pound ft. Kurupt, Daz, Snoop Dogg",Call Iz Active,N/A,104,N/A,KOCH Records,2006,4,The Dogg Pound,Kurupt,Daz,Snoop Dogg,,
327,The Dogg Pound ft. Snoop Dogg,Cali Iz Active,EXPLICIT,104,N/A,Doggy Style/KOCH Records,2006,2,The Dogg Pound,Snoop Dogg,,,,
328,The Dogg Pound ft. Snoop Dogg,Vibe,N/A,82,Urban,KOCH Records,2007,2,The Dogg Pound,Snoop Dogg,,,,
329,The Dogg Pound ft. Snoop Dogg,Vibe,Explicit,82,N/A,KOCH Records,2007,2,The Dogg Pound,Snoop Dogg,,,,
330,The Pussycat Dolls ft. Big Snoop Dogg,Buttons,N/A,105,Top 40,A&M/Interscope,2006,2,The Pussycat Dolls,Big Snoop Dogg,,,,
331,The Pussycat Dolls ft. Snoop Dogg,Buttons,N/A,105,Top 40,Stiff A&M,2006,2,The Pussycat Dolls,Snoop Dogg,,,,
332,Tiffany Foxx ft. Snoop Dogg,Shake That,N/A,95,Urban,Koch,2006,2,Tiffany Foxx,Snoop Dogg,,,,
333,TLC ft. Snoop Dogg,Way Back,Lyric Video - Explicit,85,Urban,852 Musiq,2017,2,TLC,Snoop Dogg,,,,
334,W.C. Feat. Snoop Dogg & Nate Dogg,The Streets,Remix,97,Hip-Hop,Island Def Jam Music,2002,3,W.C.,Snoop Dogg,Nate Dogg,,,
335,Westurn Union ft. Snoop Dogg,Hat 2 the Bacc,N/A,95,Urban,Doggy Style/KOCH Records,2007,2,Westurn Union,Snoop Dogg,,,,
336,"Wiz Khalifa ft. Juicy J, Snoop Dogg & T-Pain",Black & Yellow,G-Mix,82,Urban,Rostrum/Atlantic,2011,4,Wiz Khalifa,Juicy J,Snoop Dogg,T-Pain,,
337,"Wiz Khalifa ft. Juicy J, Snoop Dogg, & T-Pain",Black & Yellow,G-Mix,82,N/A,Rostrum/Atlantic,2011,4,Wiz Khalifa,Juicy J,Snoop Dogg,& T-Pain,,
338,Wiz Khalifa ft. Snoop Dogg & Bruno Mars,"Young, Wild & Free",(Explicit),95,N/A,Rostrum/Atlantic,2012,3,Wiz Khalifa,Snoop Dogg,Bruno Mars,,,
339,Wiz Khalifa ft. Snoop Dogg & Bruno Mars,"Young, Wild & Free",Clean Version,95,Pop,Clean Version,2018,3,Wiz Khalifa,Snoop Dogg,Bruno Mars,,,
340,Wiz Khalifa ft. Snoop Dogg & Bruno Mars,"Young, Wild & Free",N/A,95,N/A,Rostrum/Atlantic,2011,3,Wiz Khalifa,Snoop Dogg,Bruno Mars,,,
341,Wiz Khalifa ft. Snoop Dogg & Bruno Mars,"Young, Wild & Free",Clean,95,N/A,Rostrum/Atlantic,2011,3,Wiz Khalifa,Snoop Dogg,Bruno Mars,,,
342,"Wiz Khalifa ft. Snoop Dogg, Juicy J & T-Pain",Black & Yellow,G Mix Clean Edit,82,N/A,Rostrum/Atlantic,2011,4,Wiz Khalifa,Snoop Dogg,Juicy J,T-Pain,,
343,"Wiz Khalifa ft. Snoop Dogg, Juicy J & T-Pain",Black & Yellow,G-Mix,82,N/A,Rostrum/Atlantic,2011,4,Wiz Khalifa,Snoop Dogg,Juicy J,T-Pain,,
344,"Wiz Khalifa ft. Snoop Dogg, Juicy J & T-Pain",Black & Yellow,G-Mix Instrumental,82,N/A,Rostrum/Atlantic,2011,4,Wiz Khalifa,Snoop Dogg,Juicy J,T-Pain,,
345,Wiz Khalifa ft. Snoop Dogg & Ty Dolla $ign,You & Your Friends,EXPLICIT,97,Urban,Rostrum/Atlantic,2015,3,Wiz Khalifa,Snoop Dogg,Ty Dolla $ign,,,
346,Wiz Khalifa ft. Snoop Dogg & Ty Dolla $ign,You & Your Friends,Clean,97,Hip-Hop,Rostrum/Atlantic,2014,3,Wiz Khalifa,Snoop Dogg,Ty Dolla $ign,,,
347,Wiz Khalifa ft. Snoop Dogg & Ty Dolla $ign,You & Your Friends,Quick Edit,97,Hip-Hop,Rostrum/Atlantic,2014,3,Wiz Khalifa,Snoop Dogg,Ty Dolla $ign,,,
348,Wiz Khalifa ft. Snoop Dogg & Ty Dolla $ign,You & Your Friends,N/A,97,Urban,Rostrum/Atlantic,2015,3,Wiz Khalifa,Snoop Dogg,Ty Dolla $ign,,,
349,Wiz Khalifa ft. Snoop Dogg & Ty Dolla $ign,You & Your Friends,Quick Edit*,97,Urban,Rostrum/Atlantic,2015,3,Wiz Khalifa,Snoop Dogg,Ty Dolla $ign,,,
